[DEBUG] 2021-02-18 12:13:41.246 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-02-18 12:13:41.254 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-02-18 12:13:41.260 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-02-18 12:13:41.361 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-02-18 12:13:41.364 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-02-18 12:13:41.559 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [null] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-02-18 12:13:41.561 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-02-18 12:13:41.565 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-02-18 12:13:41.875 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-02-18 12:13:41.897 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-02-18 12:13:41.899 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-02-18 12:13:41.924 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-02-18 12:13:41.960 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@1f77b5cc
[DEBUG] 2021-02-18 12:13:41.961 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@1f77b5cc
[DEBUG] 2021-02-18 12:13:41.961 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@1f77b5cc
[DEBUG] 2021-02-18 12:13:41.961 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@2e179f3e
[DEBUG] 2021-02-18 12:13:41.962 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@29a1505c
[DEBUG] 2021-02-18 12:13:41.962 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@44b18fe4
[DEBUG] 2021-02-18 12:13:41.963 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@3fe46690
[DEBUG] 2021-02-18 12:13:41.963 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@3fe46690
[DEBUG] 2021-02-18 12:13:41.964 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@3fe46690
[DEBUG] 2021-02-18 12:13:41.965 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@317e9c3c
[DEBUG] 2021-02-18 12:13:41.965 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@317e9c3c
[DEBUG] 2021-02-18 12:13:41.965 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@317e9c3c
[DEBUG] 2021-02-18 12:13:41.966 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@47ffe971
[DEBUG] 2021-02-18 12:13:41.966 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@47ffe971
[DEBUG] 2021-02-18 12:13:41.966 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@47ffe971
[DEBUG] 2021-02-18 12:13:41.967 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@10c07b8d
[DEBUG] 2021-02-18 12:13:41.967 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@10c07b8d
[DEBUG] 2021-02-18 12:13:41.968 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@10c07b8d
[DEBUG] 2021-02-18 12:13:41.969 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@21c815e4
[DEBUG] 2021-02-18 12:13:41.969 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@21c815e4
[DEBUG] 2021-02-18 12:13:41.969 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@21c815e4
[DEBUG] 2021-02-18 12:13:41.970 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@761956ac
[DEBUG] 2021-02-18 12:13:41.970 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@761956ac
[DEBUG] 2021-02-18 12:13:41.970 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@761956ac
[DEBUG] 2021-02-18 12:13:41.971 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@36cc9385
[DEBUG] 2021-02-18 12:13:41.971 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@36cc9385
[DEBUG] 2021-02-18 12:13:41.971 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@36cc9385
[DEBUG] 2021-02-18 12:13:41.972 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@10643593
[DEBUG] 2021-02-18 12:13:41.972 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@10643593
[DEBUG] 2021-02-18 12:13:41.973 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@6917bb4
[DEBUG] 2021-02-18 12:13:41.974 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@6917bb4
[DEBUG] 2021-02-18 12:13:41.974 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@1bc49bc5
[DEBUG] 2021-02-18 12:13:41.975 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@1bc49bc5
[DEBUG] 2021-02-18 12:13:41.975 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@2def7a7a
[DEBUG] 2021-02-18 12:13:41.976 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@4ee6291f
[DEBUG] 2021-02-18 12:13:41.977 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@44e93c1f
[DEBUG] 2021-02-18 12:13:41.977 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@44e93c1f
[DEBUG] 2021-02-18 12:13:41.978 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@7903d448
[DEBUG] 2021-02-18 12:13:41.978 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@7903d448
[DEBUG] 2021-02-18 12:13:41.987 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@4110765e
[DEBUG] 2021-02-18 12:13:41.987 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@4110765e
[DEBUG] 2021-02-18 12:13:41.990 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@20cece0b
[DEBUG] 2021-02-18 12:13:41.990 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@20cece0b
[DEBUG] 2021-02-18 12:13:41.992 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@73c9e8e8
[DEBUG] 2021-02-18 12:13:41.992 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@73c9e8e8
[DEBUG] 2021-02-18 12:13:41.994 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@58ff8d79
[DEBUG] 2021-02-18 12:13:41.994 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@58ff8d79
[DEBUG] 2021-02-18 12:13:41.996 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@62db3891
[DEBUG] 2021-02-18 12:13:41.997 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@62db3891
[DEBUG] 2021-02-18 12:13:41.998 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@546e61d5
[DEBUG] 2021-02-18 12:13:41.999 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@546e61d5
[DEBUG] 2021-02-18 12:13:42.001 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@1f7076bc
[DEBUG] 2021-02-18 12:13:42.002 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@1f7076bc
[DEBUG] 2021-02-18 12:13:42.003 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@5633ed82
[DEBUG] 2021-02-18 12:13:42.004 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@5633ed82
[DEBUG] 2021-02-18 12:13:42.005 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@fab35b1
[DEBUG] 2021-02-18 12:13:42.005 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@fab35b1
[DEBUG] 2021-02-18 12:13:42.006 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@3374b5bc
[DEBUG] 2021-02-18 12:13:42.007 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@3374b5bc
[DEBUG] 2021-02-18 12:13:42.007 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@3374b5bc
[DEBUG] 2021-02-18 12:13:42.008 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@5e1d03d7
[DEBUG] 2021-02-18 12:13:42.009 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@1b1f5012
[DEBUG] 2021-02-18 12:13:42.010 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@1b1f5012
[DEBUG] 2021-02-18 12:13:42.010 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@1b1f5012
[DEBUG] 2021-02-18 12:13:42.011 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@35c12c7a
