[DEBUG] 2021-02-18 12:35:33.096 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-02-18 12:35:33.103 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-02-18 12:35:33.108 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-02-18 12:35:33.194 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-02-18 12:35:33.196 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-02-18 12:35:33.378 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [null] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-02-18 12:35:33.380 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-02-18 12:35:33.387 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-02-18 12:35:33.672 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-02-18 12:35:33.694 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-02-18 12:35:33.695 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-02-18 12:35:33.716 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-02-18 12:35:33.750 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2e6f610d
[DEBUG] 2021-02-18 12:35:33.750 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2e6f610d
[DEBUG] 2021-02-18 12:35:33.750 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@2e6f610d
[DEBUG] 2021-02-18 12:35:33.751 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@212dfd39
[DEBUG] 2021-02-18 12:35:33.751 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@23a5818e
[DEBUG] 2021-02-18 12:35:33.752 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@108a46d6
[DEBUG] 2021-02-18 12:35:33.753 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1f77b5cc
[DEBUG] 2021-02-18 12:35:33.753 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1f77b5cc
[DEBUG] 2021-02-18 12:35:33.753 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@1f77b5cc
[DEBUG] 2021-02-18 12:35:33.754 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@3bddc676
[DEBUG] 2021-02-18 12:35:33.754 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@3bddc676
[DEBUG] 2021-02-18 12:35:33.754 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@3bddc676
[DEBUG] 2021-02-18 12:35:33.755 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@4d3ca6c7
